Tear Of Thought,Blow Up Your Video,,No Plans,Live At The Playroom '84,Petrol Head,Big Wheel,"Brothers, Angels & Demons",Redneck Wonderland,Beats from a Single Drum,Live Baby Live,,Dancing on the Grave of Rock 'n' Roll
All For One,Who Made Who,,Twentieth Century,Soul Searchin' (Deluxe Edition),Worlds Away,Code Blue,Take It To The Streets (Deluxe Version),Breathe,Southern Stars,X (Remastered),,Midnight Sun
,Fly On the Wall,,The Last Wave Of Summer,Soul Searchin' (Live At The Enmore),Matchbook 30th Anniversary,Man Of Colours,The Angels (Alberts Classic Series),Earth And Sun And Moon,Scarred for Life,Kick 30,,Dead Drunk Live Hangovers
,Flick of the Switch,,The Barking Spiders Live 1983,30:30 Hindsight (Deluxe Version),Matchbook,Measure For Measure (Bonus Track Edition),No Exit (Alberts Classic Series),Scream In Blue Live,Assault & Battery,Kick (Remastered 2011),,Big Bad Noise
,For Those About to Rock (We Salute You),,Teenage Love,Rage And Ruin,,Sidewalk,Face to Face (Alberts Classic Series),Blue Sky Mining (Remastered),Rose Tattoo,Listen Like Thieves (Remastered),,The Choirboys
,Back In Black,,Ringside,Love And Fear (Reissue),,Primitive Man (Bonus Track Edition),Skin And Bone,Diesel And Dust,,The Swing,,
,Highway to Hell,,Never Before,Heat (Reissue),,,Left Hand Drive,Red Sails In The Sunset,,Shabooh Shoobah (Remastered),,
,If You Want Blood You've Got It (Live),,Live In St Leonards Park 28.5.78,The Rhythm And The Blues,,,Red Back Fever,"10,9,8,7,6,5,4,3,2,1",,Underneath The Colours (Remastered),,
,Powerage,,Live At The Wireless 29.3.77,Live At The Enmore,,,Beyond Salvation (Deluxe Edition),Place Without A Postcard,,INXS (Remastered),,
,Let There Be Rock,,Last Stand,Live At The Sydney Opera House (The Max Sessions),,,Beyond Salvation,Head Injuries,,,,
,Dirty Deeds Done Dirt Cheap,,Covered,Out In The Blue,,,Liveline,Midnight Oil,,,,
,High Voltage,,Besides,In The Heat Of The Night,,,Howling,,,,,
,,,Circus Animals,Sheperds Bush Empire Live 2001,,,Two Minute Warning,,,,,
,,,Swingshift,Double Happiness,,,Watch The Red,,,,,
,,,East,Live At The Chapel,,,Night Attack,,,,,
,,,Breakfast At Sweethearts,Soul Deeper (Live At The Basement),,,Dark Room,,,,,
,,,Cold Chisel,Soul Deeper,,,Live At La Trobe,,,,,
,,,,Hits,,,No Exit,,,,,
,,,,Psyclone,,,Face to Face,,,,,
,,,,Flesh And Wood,,,,,,,,
,,,,Soul Deep,,,,,,,,
,,,,Soul Deep (Live At The Palais),,,,,,,,
,,,,Two Fires,,,,,,,,
,,,,Barnestorming,,,,,,,,
,,,,Freight Train Heart,,,,,,,,
,,,,For The Working Class Man,,,,,,,,
,,,,Bodyswerve,,,,,,,,
